NATION,INTERNET,GDP,CO2,CELLULAR,FERTILITY,,,,,,,,,,,,
ALGERIA,0.6,6.1,3,0.3,2.8,,WORLDWIDE USE OF INTERNENT -2003,,,,,,,,,,
ARGENTINA,10.1,11.3,3.8,19.3,2.4,,Internent usage of 39 nations  in 2003 published by the United Nations ,,,,,,,,,,
AUSTRALIA,37.1,25.4,18.2,57.4,1.7,,,,,,,,,,,,
AUSTRIA,38.7,26.7,7.6,81.7,1.3,,Internet: The percentage of adult residents who used the Internent,,,,,,,,,,
BELGIUM,31.1,25.5,10.2,74.7,1.7,,"GDP: Gross Domestic Product, per capita in thousands of U.S. dollars ",,,,,,,,,,
BRAZIL,4.7,7.4,1.8,16.7,2.2,,"CO2: Carbon  dioxide emissions, per capita(a measure of air pollution in metric tons, which is strongly associated with the energy use)",,,,,,,,,,
CANADA,46.7,27.1,14.4,36.2,1.5,,Celleular: Percentate of adults who are celleular phone subscribers ,,,,,,,,,,
CHILE,20.1,9.2,4.2,34.2,2.4,,Fertility: Mean number of children per adult women,,,,,,,,,,
CHINA,2.6,4,2.3,11,1.8,,,,,,,,,,,,
DENMARK,43,29,9.3,74,1.8,,,,,,,,,,,,
EGYPT,0.9,3.5,2,4.3,3.3,,,,,,,,,,,,
FINLAND,43,24.4,11.3,80.4,1.7,,,,,,,,,,,,
FRANCE,26.4,24,6.1,60.5,1.9,,,,,,,,,,,,
GERMANY,37.4,25.4,9.7,68.2,1.4,,,,,,,,,,,,
GREECE,13.2,17.4,8.2,75.1,1.3,,,,,,,,,,,,
INDIA,0.7,2.8,1.1,0.6,3,,,,,,,,,,,,
IRAN,1.6,6,4.8,3.2,2.3,,,,,,,,,,,,
IRELAND,23.3,32.4,10.8,77.4,1.9,,,,,,,,,,,,
ISRAEL,27.7,19.8,10,90.7,2.7,,,,,,,,,,,,
JAPAN,38.4,25.1,9.1,58.8,1.3,,,,,,,,,,,,
MALAYSIA,27.3,8.8,5.4,31.4,2.9,,,,,,,,,,,,
MEXICO,3.6,8.4,3.9,21.7,2.5,,,,,,,,,,,,
NETHERLANDS,49,27.2,8.5,76.7,1.7,,,,,,,,,,,,
NEW ZEALAND,46.1,19.2,8.1,59.9,2,,,,,,,,,,,,
NIGERIA,0.1,0.8,0.3,0.3,5.4,,,,,,,,,,,,
NORWAY,46.4,29.6,8.7,81.5,1.8,,,,,,,,,,,,
PAKISTAN,0.3,1.9,0.7,0.6,5.1,,,,,,,,,,,,
PHILIPPINES,2.6,3.8,1,15,3.2,,,,,,,,,,,,
RUSSIA,2.9,7.1,9.8,5.3,1.1,,,,,,,,,,,,
SAUDI ARABIA,1.3,13.3,11.7,11.3,4.5,,,,,,,,,,,,
SOUTH AFRICA,6.5,11.3,7.9,24.2,2.6,,,,,,,,,,,,
SPAIN,18.3,20.2,6.8,73.4,1.2,,,,,,,,,,,,
SWEDAN,51.6,24.2,5.3,79,1.6,,,,,,,,,,,,
SWISTERLAND,30.7,28.1,5.7,72.8,1.4,,,,,,,,,,,,
TURKEY,6,5.9,3.1,29.5,2.4,,,,,,,,,,,,
UNITED KINDOM,33,24.2,9.2,77,1.6,,,,,,,,,,,,
UNITED STATES ,50.2,34.3,19.7,45.1,2.1,,,,,,,,,,,,
VIETNAM,1.2,2.1,0.6,1.5,2.3,,,,,,,,,,,,
YEMAN,0.1,0.8,1.1,0.8,7,,,,,,,,,,,,
